Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
05-AUG-2025,AGUL,A G Universal Limited,LIMITED SHIVJI FINANCE & INVESTMENTS PRIVATE,BUY,38000,59.80,-
05-AUG-2025,AMBICAAGAR,Ambica Agarbathies & Arom,RIMPY MITTAL,BUY,619866,29.50,-
05-AUG-2025,AMBICAAGAR,Ambica Agarbathies & Arom,IRAGE BROKING SERVICES LLP,BUY,205820,29.22,-
05-AUG-2025,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,BUY,99321,37.50,-
05-AUG-2025,CPPLUS,Aditya Infotech Limited,INVESCO MUTUAL FUND,BUY,984716,1023.57,-
05-AUG-2025,GATECH,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,BUY,100000,0.56,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,HRTI PRIVATE LIMITED,BUY,10214630,54.33,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,MATHISYS ADVISORS LLP,BUY,6086256,54.30,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,QE SECURITIES LLP,BUY,6108750,54.24,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,7980613,54.15,-
05-AUG-2025,KAYTEX,Kaytex Fabrics Limited,NEO APEX VENTURE LLP,BUY,86400,136.84,-
05-AUG-2025,KAYTEX,Kaytex Fabrics Limited,MALANI WEALTH ADVISORS PRIVATE LIMITED,BUY,104000,144.00,-
05-AUG-2025,KAYTEX,Kaytex Fabrics Limited,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,132000,141.17,-
05-AUG-2025,LAXMIINDIA,Laxmi India Finance Ltd,GRT STRATEGIC VENTURES LLP,BUY,282848,140.26,-
05-AUG-2025,MASTER,Master Components Limited,MITTAL ANALYTICS PRIVATE LIMITED,BUY,20000,355.05,-
05-AUG-2025,MASTER,Master Components Limited,SAFIR ANAND,BUY,20000,350.00,-
05-AUG-2025,MASTERTR,Master Trust Limited,SYLPH TECHNOLOGIES LIMITED,BUY,1282334,163.16,-
05-AUG-2025,MVKAGRO,M.V.K. Agro Food Prod Ltd,INDO THAI SECURITIES LTD,BUY,312000,250.07,-
05-AUG-2025,MVKAGRO,M.V.K. Agro Food Prod Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,78000,250.10,-
05-AUG-2025,NEWGEN,Newgen Software Tech Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,914530,915.71,-
05-AUG-2025,NEWGEN,Newgen Software Tech Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,787389,928.80,-
05-AUG-2025,ORTINGLOBE,ORTIN GLOBAL LIMITED,SURESH GADALAY,BUY,91800,17.10,-
05-AUG-2025,ORTINGLOBE,ORTIN GLOBAL LIMITED,SHIVAM OMAR,BUY,39490,16.77,-
05-AUG-2025,PRAKASH,Prakash Industries Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,1113909,185.50,-
05-AUG-2025,PROFX,Pro FX Tech Limited,NISHANT JAIN,BUY,96000,123.88,-
05-AUG-2025,TANLA,Tanla Platforms Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,823232,662.56,-
05-AUG-2025,VIMTALABS,Vimta Labs Limited,HRTI PRIVATE LIMITED,BUY,280886,664.14,-
05-AUG-2025,ZUARI,Zuari Agro Chemicals Ltd,HRTI PRIVATE LIMITED,BUY,352304,347.83,-
05-AUG-2025,ZUARI,Zuari Agro Chemicals Ltd,AAKRAYA RESEARCH LLP,BUY,264050,348.57,-
05-AUG-2025,AGUL,A G Universal Limited,AUM SECURITIES PVT. LTD.,SELL,64000,59.73,-
05-AUG-2025,AMBICAAGAR,Ambica Agarbathies & Arom,RIMPY MITTAL,SELL,619866,29.30,-
05-AUG-2025,AMBICAAGAR,Ambica Agarbathies & Arom,IRAGE BROKING SERVICES LLP,SELL,266377,29.11,-
05-AUG-2025,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,SELL,40211,37.95,-
05-AUG-2025,BRNL,Bharat Road Network Ltd,VISTAR FINANCIERS PRIVATE LIMITED,SELL,437478,19.69,-
05-AUG-2025,GATECH,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,5600000,0.55,-
05-AUG-2025,GATECHDVR,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,6472168,0.47,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,7980613,54.17,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,MATHISYS ADVISORS LLP,SELL,6070635,54.30,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,QE SECURITIES LLP,SELL,6039489,54.29,-
05-AUG-2025,JAYNECOIND,Jayaswal Neco Industr Ltd,HRTI PRIVATE LIMITED,SELL,9470034,54.31,-
05-AUG-2025,KAYTEX,Kaytex Fabrics Limited,LEADING LIGHT FUND VCC - THE VINTAGE,SELL,88800,151.14,-
05-AUG-2025,LAXMIINDIA,Laxmi India Finance Ltd,BOFA SECURITIES EUROPE SA,SELL,354508,141.12,-
05-AUG-2025,LAXMIINDIA,Laxmi India Finance Ltd,GRT STRATEGIC VENTURES LLP,SELL,282848,140.34,-
05-AUG-2025,MASTER,Master Components Limited,MUDDURAJ CHANDRASHEKHAR KULKARNI HUF,SELL,50000,352.22,-
05-AUG-2025,MASTER,Master Components Limited,SHRIKANT HANMANT JOSHI HUF,SELL,50000,352.22,-
05-AUG-2025,MASTERTR,Master Trust Limited,SYLPH TECHNOLOGIES LIMITED,SELL,1270306,163.24,-
05-AUG-2025,MOKSH,Moksh Ornaments Limited,VINCENT COMMERCIAL COMPANY LIMITED,SELL,520987,13.65,-
05-AUG-2025,MVKAGRO,M.V.K. Agro Food Prod Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,80400,250.10,-
05-AUG-2025,MVKAGRO,M.V.K. Agro Food Prod Ltd,NEO APEX VENTURE LLP,SELL,398400,250.08,-
05-AUG-2025,MVKAGRO,M.V.K. Agro Food Prod Ltd,KALPALABDHI SECURITIES PRIVATE LIMITED,SELL,106800,250.20,-
05-AUG-2025,NEWGEN,Newgen Software Tech Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,914530,916.39,-
05-AUG-2025,NEWGEN,Newgen Software Tech Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,787389,929.28,-
05-AUG-2025,ORTINGLOBE,ORTIN GLOBAL LIMITED,SHIVAM OMAR,SELL,41065,17.04,-
05-AUG-2025,ORTINGLOBE,ORTIN GLOBAL LIMITED,PRABHA RAMESHKUMAR GUPTA,SELL,50000,17.19,-
05-AUG-2025,PRAKASH,Prakash Industries Ltd.,GRAVITON RESEARCH CAPITAL LLP,SELL,1113909,185.62,-
05-AUG-2025,TANLA,Tanla Platforms Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,823232,662.99,-
05-AUG-2025,VIMTALABS,Vimta Labs Limited,HRTI PRIVATE LIMITED,SELL,302727,664.09,-
05-AUG-2025,ZUARI,Zuari Agro Chemicals Ltd,HRTI PRIVATE LIMITED,SELL,398782,348.55,-
05-AUG-2025,ZUARI,Zuari Agro Chemicals Ltd,AAKRAYA RESEARCH LLP,SELL,264050,348.93,-
